 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano atendimento
Período:Mar/2024
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3836100,79;5893450,21;9729551,00
"13 Amazonas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2618826,76;19261434,79;21880261,55
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2512300,07;141712,64;2654012,71
"15 Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7723611,94;41422324,73;49145936,67
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;171663,53;3408598,19;3580261,72
"17 Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2843186,45;6406411,90;9249598,35
"21 Maranhão";-;-;-;-;-;-;-;4622,22;7206,68;6162,96;4622,22;-;4622,22;-;10785,18;6801306,18;35669086,56;42508414,22
"22 Piauí";-;-;1540,74;3081,48;-;1540,74;1540,74;1540,74;1587,44;3081,48;1540,74;14856,85;7189,01;28770,42;25643,43;2216354,08;18407014,61;20715282,50
"23 Ceará";-;-;-;-;-;-;1988,04;-;-;994,02;-;8190,16;2047,54;4095,08;8190,16;10122403,06;54072203,97;64220112,03
"24 Rio Grande do Norte";-;-;-;-;1540,74;-;-;-;-;3081,48;-;-;2047,54;12285,24;12285,24;2974960,73;22975265,67;25981466,64
"25 Paraíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1884418,02;40791736,68;42676154,70
"26 Pernambuco";-;-;-;-;-;2060,57;-;-;2060,57;6181,71;-;-;5936,49;6972,74;19018,70;3017964,79;84239774,11;87299969,68
"27 Alagoas";4733,82;-;-;-;-;-;1577,94;-;1577,94;-;4733,82;2554,39;3155,88;19083,71;18964,27;2138776,22;17850019,69;20045177,68
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;1540,74;1192,83;4274,31;10785,18;5931051,79;9166816,27;15115661,12
"29 Bahia";77715,28;-;-;2188,91;54947,39;-;2700,64;3277,19;4506,16;2188,90;-;10819,87;24495,90;23921,92;16018,18;17289418,15;83715122,33;101227320,82
"31 Minas Gerais";-;-;-;6695,07;-;2188,91;-;2188,91;6566,73;4634,50;10353,91;12205,63;6695,07;25956,38;73319,57;23565613,53;198175263,21;221891681,42
"32 Espírito Santo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4602996,75;36308098,96;40911095,71
"33 Rio de Janeiro";-;-;-;-;4781,69;-;5012,77;13270,22;58732,71;12313,97;11979,61;38798,05;44403,60;38097,27;109098,17;14575105,57;104246376,51;119157970,14
"35 São Paulo";1733394,21;91363,59;210448,01;100488,85;164038,19;91472,97;154932,35;138923,37;129173,16;160743,89;172590,07;371245,05;233765,87;288279,39;340436,36;36985677,09;385038473,87;426405446,29
"41 Paraná";-;-;-;-;-;-;-;1313,48;-;8105,32;-;-;2554,39;6966,80;22117,03;20613597,33;146459716,11;167114370,46
"42 Santa Catarina";-;-;-;-;-;-;-;1233,55;60788,20;1233,55;3700,65;4934,20;10065,39;7857,43;26098,95;9508205,52;104182096,32;113806213,76
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;2389,59;6649,47;44971,97;14275967,82;105689078,03;120019056,88
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;2285,32;4512,17;7486538,24;16924267,75;24417603,48
"51 Mato Grosso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3487329,54;18746339,44;22233668,98
"52 Goiás";141524,67;11040,00;2238,97;11226,60;24523,85;13430,83;15500,57;27015,20;30047,03;33553,88;63689,52;52254,26;50357,62;28924,72;49131,03;5850803,92;47080516,33;53485779,00
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-;-;-;4095,08;4281,64;2047,54;2473833,59;26443958,65;28928216,50
"Total";1957367,98;102403,59;214227,72;123680,91;249831,86;110694,02;183253,05;193384,88;302246,62;242275,66;273210,54;517399,20;405014,02;508701,84;793423,13;215508011,46;1632715157,53;1854400284,01
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
